Hit	#	query_length	percent_match	strand_orient.	NA	NA	CIGAR_format	query_id	database_id
N	*	*	*	.	*	*	*	037a3212f5266acc8a2acf8e931325fd	*
N	*	*	*	.	*	*	*	036066a3c2bbfd357d1e5ab4cdee1a3b	*
N	*	*	*	.	*	*	*	0389a2bc617787c171d944acbad318bc	*
N	*	*	*	.	*	*	*	03a0d09026cf546523ec5f19f9fc1bf2	*
N	*	*	*	.	*	*	*	034f7cb26b955fc07cb118e9d4bd95d8	*
N	*	*	*	.	*	*	*	03a533c87ed1b0a0fbae13482427dd15	*
N	*	*	*	.	*	*	*	03d501d858b10220f8f56ab401f8b410	*
N	*	*	*	.	*	*	*	0461acfb750218e823b1ae6f6ab3abc0	*
N	*	*	*	.	*	*	*	045b52daf372bbcb6fcbd25c4ac150c2	*
N	*	*	*	.	*	*	*	046b8313b63c590a0c5db6c12c831863	*
N	*	*	*	.	*	*	*	047735756066cc08e1422d33659f78e3	*
N	*	*	*	.	*	*	*	04f3a10b2f3c84fd433784a19331bd04	*
N	*	*	*	.	*	*	*	0483511ad55f6bc8287174dcf75eabfe	*
N	*	*	*	.	*	*	*	0508d406a3ff5f5d041b4c2369cc159c	*
N	*	*	*	.	*	*	*	04d1a864a09b08184b0cffa866a03aca	*
N	*	*	*	.	*	*	*	053446d2f41cc7a41b5aae9e75a0ba06	*
N	*	*	*	.	*	*	*	05368ee8187b415dd6d4748d334c4820	*
N	*	*	*	.	*	*	*	0556f46a264fa18ad669ed8be2d40016	*
N	*	*	*	.	*	*	*	05276dabd97bb322a736fa48f2e6a453	*
N	*	*	*	.	*	*	*	0576d45a911b53117032d760eb39d689	*
H	739	245	100	+	0	0	465I245M667I	0623ab7d45e188fc2e7a417610519d6c	HP12C.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	057297df05d83822371e81653a400ac2	*
N	*	*	*	.	*	*	*	05eb3c32f1d3b3be2bdc07e5516375e1	*
N	*	*	*	.	*	*	*	05936d8187a41ccd30c4f12e3feb6a90	*
N	*	*	*	.	*	*	*	05fca624332f3e060efcff1d391a9369	*
N	*	*	*	.	*	*	*	05d16fe60b656475acbbd2b9491417d1	*
N	*	*	*	.	*	*	*	06094875913b945b59766b9fa5a73b36	*
N	*	*	*	.	*	*	*	061b9fe4c6889e7e4a6a8abbca64e8cf	*
N	*	*	*	.	*	*	*	062a6a55d6c81c8a614cb6cbb648003d	*
N	*	*	*	.	*	*	*	0632858a7e3409300a4fc9bbaa0c0501	*
N	*	*	*	.	*	*	*	0665c298d8dcf7d257ae8ccf9ed14b3e	*
N	*	*	*	.	*	*	*	06a5ac57d31b062f79ca848747f6e327	*
N	*	*	*	.	*	*	*	0663b06ea796b0199377151467b7fc09	*
N	*	*	*	.	*	*	*	0663dcb7bf68b1f4e94f85d5ba741429	*
N	*	*	*	.	*	*	*	0646e2d2b6879bcfa7bd2d5fbd14a8de	*
N	*	*	*	.	*	*	*	06b6ca186d20f299c07da509a51aa1c2	*
N	*	*	*	.	*	*	*	06eb3ddd0bb09e61c6351c962d5e82f6	*
N	*	*	*	.	*	*	*	06f777af347a3f004df1514448c793eb	*
N	*	*	*	.	*	*	*	068c5ca5a5c7da6e1838de061f9a833e	*
N	*	*	*	.	*	*	*	06da9433d93d7038b95f6685f3404b84	*
N	*	*	*	.	*	*	*	070cc7cefe482682f056e340a569c569	*
N	*	*	*	.	*	*	*	06f0739e32f0ad31404affc34baa8a47	*
N	*	*	*	.	*	*	*	070e592c6671615619c37735661a3d57	*
N	*	*	*	.	*	*	*	07349a3d457b346ae18fea9a99e78b87	*
N	*	*	*	.	*	*	*	0724ee14bb12983a282a328003feaf95	*
H	917	245	99.2	+	0	0	408I245M597I	07f6b1ed7e3783a3db05ebd23a2f9418	Panama127B.Panama.Wild.Bd.Inhibitory
H	412	245	100	-	0	0	59I245M430I	07fa9098a4f3ce0fbbf755ada6588588	Mada.1840.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	07356141ecbdc39fea395e319cd9ff0b	*
N	*	*	*	.	*	*	*	079a1051d143da3ea22bdd73bc34fb93	*
N	*	*	*	.	*	*	*	073d830187c7f1824a47e9d601dd46b3	*
N	*	*	*	.	*	*	*	07e37d6e6c8bff6299f270964bc042b4	*
N	*	*	*	.	*	*	*	07d62ceca3ac7ecb11554b0ad238996c	*
H	490	245	100	+	0	0	465I245M662I	084bef14a26d9cd9e64296c05a5a4f02	642C.USA.Wild.Bd.AP.Assay.Inhibitory
N	*	*	*	.	*	*	*	07af961f61ce5548bf1a5d3b8ccbd0ca	*
N	*	*	*	.	*	*	*	0805b54685583eba2e21c7da31c03ed7	*
H	831	245	100	-	0	0	89I245M434I	08563dc5723ffd3e3aaf1042820ca51d	Mada.2561.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	0814ef60abd948b0784ab17a046b79f7	*
N	*	*	*	.	*	*	*	082bd2eb855cd7bb21f3cc72141e51bc	*
N	*	*	*	.	*	*	*	083336034f07fc6af6065fec41e938d9	*
N	*	*	*	.	*	*	*	08430bb257292881f4d924c8c4aac908	*
N	*	*	*	.	*	*	*	085bf79dc874fb4b4957b6b08ad827fa	*
N	*	*	*	.	*	*	*	08b01c9c050c8b178d0762e12fb3eae0	*
N	*	*	*	.	*	*	*	085de99eae386102f054276666c42f51	*
H	195	245	100	-	0	0	84I245M315I	08e153dc788176a813a3ebb7cd25069d	Mada.2008.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	08c724f14a0c80916031503fb1c932d5	*
N	*	*	*	.	*	*	*	08d7bee4fe21bc15df616c9a11ad6dc2	*
H	176	245	99.2	+	0	0	465I245M669I	0930b1271660adb2b98135e7ba9e238b	CP12F.USA.Wild.Bd.AP.Assay.Inhibitory
N	*	*	*	.	*	*	*	08abc6dfcd8eccfcb0de4ae667cde68e	*
N	*	*	*	.	*	*	*	092a1704b61349282d63d508013b5259	*
H	155	245	99.6	+	0	0	456I245M226I	0a348bc2d6ff97b89ba347a276006226	SFA1.7.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	095c18ce75acdc5d096dbaff2ea248b0	*
N	*	*	*	.	*	*	*	08fb9c223eadb83155171c7a8e301833	*
H	1138	245	99.6	+	0	0	467I245M675I	0980eaea8663226362b50ab4e2ef714b	Panama07A.55A.Panama.Wild.Bd.AP.Assay.Inhibitory
N	*	*	*	.	*	*	*	096e926f7faa14ac100ea0f62ad49da0	*
N	*	*	*	.	*	*	*	09a4c038f3f2e501264a4e6408dbd3eb	*
N	*	*	*	.	*	*	*	096fef3c51f052be230971fbed29997d	*
N	*	*	*	.	*	*	*	0a2feb936bb12281d8f5a1af3bd798c1	*
N	*	*	*	.	*	*	*	09c7eaf574b4e5a669e167762dc58d1a	*
N	*	*	*	.	*	*	*	09d343ea9bd8ca6f395b822393f4b865	*
N	*	*	*	.	*	*	*	0ab1cba82b5b4eea774253c8e93d0277	*
N	*	*	*	.	*	*	*	09aec8b89431427022c412a3f6a8bd3e	*
N	*	*	*	.	*	*	*	0ac2d7fafa180ed570414299af42eae7	*
N	*	*	*	.	*	*	*	0ad7e410306c8d01c8e322b3587a8ddc	*
N	*	*	*	.	*	*	*	0a47c8b4a952345ae6f513786e026d91	*
N	*	*	*	.	*	*	*	0ae37a4d19516d9f109edffbf5e67751	*
N	*	*	*	.	*	*	*	0ad744a1dc1d68477ad71013b0fa64e1	*
N	*	*	*	.	*	*	*	0ae7fccbb85864f098b570fb7fd84e5e	*
N	*	*	*	.	*	*	*	0b0dbbe40563e547a901cc5855edc4df	*
N	*	*	*	.	*	*	*	0b1718ed1229c67566e913de109d0ce7	*
N	*	*	*	.	*	*	*	0b24190e04930c9cee8e9376d25ba6c0	*
N	*	*	*	.	*	*	*	0b259f87e99d6231f4e5c712228971d3	*
N	*	*	*	.	*	*	*	0b4625ad8a53552a4f79892243065bb9	*
N	*	*	*	.	*	*	*	0b7e788f75b375855533c3441122a58d	*
H	1339	245	99.2	+	0	0	472I245M682I	0c3502bb77eed0f63c3a23434a01bf1a	VF30.Colombia.Wild.Bd.AP.Assay.Inhibitory
N	*	*	*	.	*	*	*	0b62ba9bdb885cbde736797f5645eb36	*
N	*	*	*	.	*	*	*	0b9e55517743016d5db0fcb304219741	*
N	*	*	*	.	*	*	*	0bf4dd1a6c0bc252fafad4d1be06691e	*
N	*	*	*	.	*	*	*	0bebec29f8f82e2007caa25899aa2880	*
N	*	*	*	.	*	*	*	0c44dfda8b2419561c70b6bdf228aff8	*
N	*	*	*	.	*	*	*	0c2be0135248e2b367a983b17347e951	*
N	*	*	*	.	*	*	*	0c7f28a774844ec305ce12cb5f5ae90b	*
N	*	*	*	.	*	*	*	0c467f681609f1d554b3756af0873ebc	*
N	*	*	*	.	*	*	*	0c83872ac6b6a3c20c6026091d9c9000	*
N	*	*	*	.	*	*	*	0c6e6abfe24fb1318fd455c107e23b74	*
N	*	*	*	.	*	*	*	0c926fe9a284d4034332c781e239d1d1	*
N	*	*	*	.	*	*	*	0c9ca82771cfeb384a682dbbfb6d9725	*
N	*	*	*	.	*	*	*	0c9d77160722b8f51b588350a3aaaae7	*
N	*	*	*	.	*	*	*	0c94e294fcdcca1b9993741ba1183a8b	*
H	1460	245	99.4	-	0	0	65D180M320I	0ce9a5e133d2f69dd16392760bffc4cc	Mada.2331.Madagascar.Wild.Bd.Inhibitory
H	35	245	100	-	0	0	56I245M479I	0dc60bb0b0341bf91a1d34f8adfecd4c	DE_0042.Germany.Wild.Bsal.Inhibitory
N	*	*	*	.	*	*	*	0cbfdbc7de4a12a2df7a4a5b45f2c67d	*
N	*	*	*	.	*	*	*	0d16e7b0b7f915875eed42b112b54baf	*
N	*	*	*	.	*	*	*	0cf5016ff2439a7c0b450de841838c56	*
N	*	*	*	.	*	*	*	0d3b280a208598b483042c49c3a1839b	*
N	*	*	*	.	*	*	*	0d537a9c528da6f2754f8d1b655c40d7	*
N	*	*	*	.	*	*	*	0dab610bffbeb1a072d01f108dbc0b58	*
N	*	*	*	.	*	*	*	0d990216bcc63cb7539c8bebe69cb865	*
N	*	*	*	.	*	*	*	0dcb9c700bbb91864efab6db60f67795	*
N	*	*	*	.	*	*	*	0e087610005d8cafe03b34e1f7c52dd4	*
N	*	*	*	.	*	*	*	0e103905cf966c8bcb9ab7727a383e28	*
N	*	*	*	.	*	*	*	0e4a78d33e0850ea8eb46f17cf2d7152	*
N	*	*	*	.	*	*	*	0e22f8a0e00ff871d0b8bf3bebf2624e	*
N	*	*	*	.	*	*	*	0e2da19274ce5e1ee9e5e46266ba5cc8	*
N	*	*	*	.	*	*	*	0ec79a63dd67081b8376eef7ac0088ec	*
H	310	245	100	-	0	0	57I245M336I	0f9a15d5f90df2d074590dcd9ce43769	Mada.3107.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	0ec1df4fe4d043317e7d5ca9e7a5ac0d	*
N	*	*	*	.	*	*	*	0f1073ef9636714528eb6280734fa028	*
N	*	*	*	.	*	*	*	0f51cea8313b401d10412db9639985e3	*
N	*	*	*	.	*	*	*	0f247b4eea2de207ce88a13dacea2398	*
N	*	*	*	.	*	*	*	0f187e893cc5e0300d234235ef3e2694	*
N	*	*	*	.	*	*	*	0f2d7212a7991e165f00d65874b86bb8	*
N	*	*	*	.	*	*	*	0f6e2891d0116a3158e7c80286c692f8	*
N	*	*	*	.	*	*	*	0f3f5b486d0a43eb70521ca34e8f9a12	*
N	*	*	*	.	*	*	*	0f82bb9276c00f40417d065514718561	*
H	215	245	99.6	-	0	0	35I245M246I	0fed91066650d487a5d698599b9020ae	Mada.1154.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	0fa3c8bf26b8dbf704e9fc60843360f1	*
N	*	*	*	.	*	*	*	0fa5b382c7e3138d4093e079babc377e	*
N	*	*	*	.	*	*	*	0fa11a022dd93c4a197f2f36fd84fd84	*
N	*	*	*	.	*	*	*	0fcd4c66cfd8a45e8fd006fec5323d34	*
N	*	*	*	.	*	*	*	0fdac68668d5b69aeb2a975da5ef3bac	*
N	*	*	*	.	*	*	*	0fd3c82a114571adede4dcecb363f8fb	*
N	*	*	*	.	*	*	*	0fe3b02dd514ff6cae8575ff33b22bad	*
N	*	*	*	.	*	*	*	10242e9663cff168ccae6ccca1e147b2	*
N	*	*	*	.	*	*	*	0ff4a6b7bc39eb3dac5c4d45256cc406	*
N	*	*	*	.	*	*	*	1047995bdc9862c0a4346a7d9c42bd04	*
N	*	*	*	.	*	*	*	105535e7eecb8f06074b5a9211eac272	*
N	*	*	*	.	*	*	*	10568bb8bbac7cc28727d73726791575	*
N	*	*	*	.	*	*	*	1023a0a5207b202f8d0715f842573e92	*
N	*	*	*	.	*	*	*	104200b8b8f2fe9174da762a2c04e29f	*
N	*	*	*	.	*	*	*	10a1734e2dcf51cddce57547fa8aabd3	*
N	*	*	*	.	*	*	*	10f636d99a7305e3518cb05d6307f901	*
N	*	*	*	.	*	*	*	10ff478e4d26f2d3dcb425fa1a83cd3f	*
N	*	*	*	.	*	*	*	10693581d18c9f7072655943db59be13	*
H	827	245	99.2	-	0	0	92I245M294I	11b071c0dea0d4b2de47e48673924c51	Mada.2184.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	112190cca6c64928fcfb160240ced0e5	*
N	*	*	*	.	*	*	*	113f55868e3a2c810145f6996fd38292	*
H	1440	245	99.6	-	0	0	93I245M452I	11f07f5e9c54b4bcfa07854d872e3c69	A55A.Panama.Wild.Bd.Inhibitory
H	625	245	100	-	0	0	72I245M410I	12f1c45256434266b54212f16c48444b	Mada.1072.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	119993ad2e989fb44ca562b515724a8d	*
N	*	*	*	.	*	*	*	11d769ef41bc5a1e5279cf4225327f0b	*
N	*	*	*	.	*	*	*	11e38c8bf0c5bf98ba0c82e183af8d04	*
H	164	245	99.6	+	0	0	11I245M670I	13691c41eee4a8a9e12ed50503af1e3e	Australia1208.Australia.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	11f16f43e719479a033b947d556317f9	*
N	*	*	*	.	*	*	*	12b517e8b628e8613a608dce952495f6	*
N	*	*	*	.	*	*	*	12e1c1f591f970fd07f691bb5536cf8a	*
H	1038	245	100	-	0	0	669I245M469I	13c532c51be492878ed664d4c9079abc	HP7H.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	133cd27720faf693d08e0730a8451510	*
N	*	*	*	.	*	*	*	131493a1d50842ba65d106bbd4a44247	*
N	*	*	*	.	*	*	*	13214c37afc1bfc5c38f014fd688664c	*
N	*	*	*	.	*	*	*	12bcc6a594203401987e20844f3e5936	*
N	*	*	*	.	*	*	*	13256b3ecc9b8163df96eb341ee090bb	*
N	*	*	*	.	*	*	*	1334114387894bf16e20858d3fb714dc	*
N	*	*	*	.	*	*	*	134fe312fbd8ffd1358838a8de652b5e	*
N	*	*	*	.	*	*	*	138c037a2f74df7e23b648bab1bbbd9f	*
N	*	*	*	.	*	*	*	13ba608097e7c123a675ddd1bd45dbdf	*
N	*	*	*	.	*	*	*	138eeea615f57ee3dbc1e23429b7a412	*
N	*	*	*	.	*	*	*	13bd84a8015647d7e15c774947b7eb29	*
N	*	*	*	.	*	*	*	13c7e4aba665d521f8bb6b576ad33379	*
H	967	245	100	+	0	0	475I245M685I	143f8c37f239bdf962ce61c7d794d2ed	HP11L.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	140794ff5c3335a5e2f1f8cbea5707d8	*
N	*	*	*	.	*	*	*	141cb98a61d20067bf50150f74b0229e	*
N	*	*	*	.	*	*	*	143017906116bcbb14570795e5988550	*
N	*	*	*	.	*	*	*	143a4c7c02a9795edbed0d828d01032b	*
N	*	*	*	.	*	*	*	13ee8754a0c1f7262158c92cdfea76d1	*
N	*	*	*	.	*	*	*	14b2c7993219e44d736fe8d51628fedb	*
N	*	*	*	.	*	*	*	13e62fa9f0e8deddf4ea357245d815ef	*
N	*	*	*	.	*	*	*	14ba81357ae5a060c9cbb85e0ac84279	*
N	*	*	*	.	*	*	*	14914633f511e5ab3d95eae8dcefeae6	*
N	*	*	*	.	*	*	*	14e5c8dcea5f6e6ffe379c908a3cadf6	*
H	425	245	100	-	0	0	59I245M287I	152e62f8cbe2e4ad0ae3f2444002e22f	Mada.1514.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	14fd1461be5fa9fa5cbf3c18ab2e811a	*
N	*	*	*	.	*	*	*	1505b84af471a4e8709b0b4ac93b965a	*
N	*	*	*	.	*	*	*	153f364f4fc0db9a90bc0819e5d92b5e	*
N	*	*	*	.	*	*	*	155dee0ceae6cff8b6995ced339c479b	*
N	*	*	*	.	*	*	*	15798bb3ba45631345994a75ac08adc8	*
N	*	*	*	.	*	*	*	1567196ffae3348b5e69c71c4f8d3873	*
N	*	*	*	.	*	*	*	15c866898d30f358c616b85269a10320	*
N	*	*	*	.	*	*	*	15e99abbbd5eacabe2d4617c96cbd335	*
N	*	*	*	.	*	*	*	1586b636a9841adddead4bdf8b855673	*
N	*	*	*	.	*	*	*	15da483c47ce0f988dc19a31d44e9f47	*
N	*	*	*	.	*	*	*	15f144792716de07049f8d48c3f370ec	*
N	*	*	*	.	*	*	*	15f55467cd0ca50782149f6042b4636f	*
N	*	*	*	.	*	*	*	1600a142e6e68de2c28c68ae5342d0ab	*
N	*	*	*	.	*	*	*	1619d6276804cc8dc5f9187f1ed3ad67	*
N	*	*	*	.	*	*	*	16136e06d3612a3f7f49ee00ddc0a6e6	*
N	*	*	*	.	*	*	*	164b24dfa818eb57c85e8626c5bc99bb	*
N	*	*	*	.	*	*	*	16350460846e9102023b317c826444e5	*
N	*	*	*	.	*	*	*	165bbe93f53510c903f645c28116a23a	*
N	*	*	*	.	*	*	*	1679b98cc25f0959fc6a36c535d4d13d	*
N	*	*	*	.	*	*	*	1665ec254199061d81bc3e2d3f7c2608	*
N	*	*	*	.	*	*	*	1629ecb95b0b371dc423bc0d91f84b74	*
N	*	*	*	.	*	*	*	16408666385d0cf0280043a9b8685822	*
N	*	*	*	.	*	*	*	167ac4f6f53e56c4dc91930092fb21b7	*
H	306	245	99.6	-	0	0	582I245M378I	16fcf5753b4a51d6c88fef91df43ae21	Panama142A2.Panama.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	168dec6a3cf2debbb5e3dac34c1adcf1	*
N	*	*	*	.	*	*	*	168b3d6dbf6e74ebc8230408cf2cd305	*
N	*	*	*	.	*	*	*	16a76aadd0d81da3b54d3c27c7fdb54b	*
N	*	*	*	.	*	*	*	16b6c66e571ab13493ff21b9f0c7c9e8	*
N	*	*	*	.	*	*	*	16d875a2cd4fc9db3427bca7099ba130	*
N	*	*	*	.	*	*	*	16df8018000aa3c64414d702f3b35440	*
N	*	*	*	.	*	*	*	174ed78e73cbc3ad17f9f7fa88753f3d	*
N	*	*	*	.	*	*	*	16eba9d8d8ad1d374a8cac9fcd6610db	*
N	*	*	*	.	*	*	*	17655bc5ab3c9aa95104203db536a37f	*
N	*	*	*	.	*	*	*	16e27af0e9378399787ac1af0787a8c2	*
N	*	*	*	.	*	*	*	17a6595533bd433527371eb259b12c91	*
H	966	245	100	+	0	0	414I245M691I	1820afe9ac04807751151ce292c7c3c4	HP11E.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	177100a702ab4449be3e3e887b229874	*
N	*	*	*	.	*	*	*	17d3b756e1029803c564d2e531349fec	*
N	*	*	*	.	*	*	*	17cebc3125bb98e1f569067366397a35	*
H	67	245	100	+	0	0	470I245M687I	180fa59844e0ae60abea389ca6440b7c	BFE41A.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	18015704de6c02522df0c65e32d2dfc7	*
N	*	*	*	.	*	*	*	18053888933b729f14ba4088ada74e16	*
N	*	*	*	.	*	*	*	17e4e3f900623f56f1e672f751f12e91	*
H	97	245	99.6	-	0	0	35I245M269I	186763ff59d64d3d11dd4d3b25a7f745	Mada.1112.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	1811fd155f3c7eab2c3e60b7efe91a46	*
H	284	245	99.6	+	0	0	494I245M608I	18a7fb639dbd93a5303920f15a9519d3	AS_UU.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	1822e462e30be506dd66a398ef0c77ea	*
N	*	*	*	.	*	*	*	18710c6e7ad4a774d0257d09dae478b3	*
N	*	*	*	.	*	*	*	189e054d60f41edb8853cb6ca1d750ce	*
N	*	*	*	.	*	*	*	18c7d6ea7b8ae8e72a431c410346eb09	*
N	*	*	*	.	*	*	*	18bdedf70a6c542386ffb207cba73679	*
H	618	245	99.4	-	0	0	678I154M91D	18c4be275f5245144c02f208fb5250e8	A.lugubris1.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	18a175c7f4f0550d4acf56394b64acce	*
N	*	*	*	.	*	*	*	189f8a3d4b15211b2dd9d996e24d84eb	*
N	*	*	*	.	*	*	*	18ec93615737148593693e293e310226	*
N	*	*	*	.	*	*	*	18f18f6e7249a2943be08be8926f4377	*
N	*	*	*	.	*	*	*	18eceb63c39cca481ab0de2a18ffcfd2	*
N	*	*	*	.	*	*	*	192983ca770894a977019d75170dc6a8	*
N	*	*	*	.	*	*	*	191e90dd3c78d1de1c2e78483f9f25bf	*
N	*	*	*	.	*	*	*	1939e8a7c1a9374312a8b7b93acd33d6	*
N	*	*	*	.	*	*	*	19156fdd9b4aa844dc13aaf0d860b863	*
N	*	*	*	.	*	*	*	19837cbdd19e5cf9f4a9d182f7a89fd6	*
N	*	*	*	.	*	*	*	199bab12cc2789dbd4184be8772622c6	*
N	*	*	*	.	*	*	*	19d0dd4a2a75b1a1e1e3180a6d808008	*
N	*	*	*	.	*	*	*	19b99cb4e1d8ea151c5e8ca004010339	*
N	*	*	*	.	*	*	*	1a064227b9fe7c9d6f887196531fa2c6	*
N	*	*	*	.	*	*	*	195b80b9bc156cb64e934d453b3b2a02	*
N	*	*	*	.	*	*	*	19fa653573a967311d6eac53193d1488	*
H	716	245	100	+	0	0	466I245M670I	1a6ff3f5707cff92e36b7858631b5cbe	HP4K.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	1a11bbcade9d671187cd78dc4c69e167	*
N	*	*	*	.	*	*	*	1a1916a6da3b120ade64782a46bcba40	*
N	*	*	*	.	*	*	*	1a3d86dbdc88de331be0fe5c52c96039	*
N	*	*	*	.	*	*	*	1a683bb3f428c571ce4dfdd925da262f	*
N	*	*	*	.	*	*	*	1a61186eb66e6d2b5f2b5448bb7ff2a0	*
N	*	*	*	.	*	*	*	1a4b01aea45cf5131753ed309b4d676a	*
N	*	*	*	.	*	*	*	1a57727978730bfb81734f197acbbb98	*
N	*	*	*	.	*	*	*	1a4fefa85b6a85a92dd14b20d4dcf904	*
N	*	*	*	.	*	*	*	1a69e57ae065ca32189318c9ec6b9b95	*
H	119	245	99.6	+	0	0	372I245M617I	1b17dfa1b5735c4759190a104af82135	Panama75F.Panama.Wild.Bd.Inhibitory
H	1440	245	99.2	-	0	0	93I245M452I	1b43386495b2a26507deb30c8ef54f17	A55A.Panama.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	1b13bb8e6d1a82ac6b77da6c34227e24	*
N	*	*	*	.	*	*	*	1aa0c7375e60ea7041a9878399b29187	*
H	967	245	99.2	+	0	0	475I245M685I	1b7e68baeaae870dec3aacb1c8ff63a0	HP11L.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	1b536c738f73a3f4efac13deee76f997	*
N	*	*	*	.	*	*	*	1b25652b67154d66903b8368c998e766	*
N	*	*	*	.	*	*	*	1b26c85ef433e1c6a04e6d1c12a8f13d	*
N	*	*	*	.	*	*	*	1b9ba8f1b74e09513badcb0f44eb763d	*
N	*	*	*	.	*	*	*	1b99b44c0623bb198024bb4a502480db	*
H	892	245	99.6	+	0	0	452I245M678I	1c9e0a6ad7ea302757c3f86b119a8e64	BFE9A.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	1bc1c60c15982de9c2f315c752755b5a	*
N	*	*	*	.	*	*	*	1bc2f924bf895800a78d83ef202825d8	*
N	*	*	*	.	*	*	*	1c17a3bf45bc0fa16b1ba7b39bd6a421	*
N	*	*	*	.	*	*	*	1c2299ea4cf024d1f0d4e16f14b83ec2	*
N	*	*	*	.	*	*	*	1c3238fbec0e9202dfccd8d8bbd2f8e6	*
N	*	*	*	.	*	*	*	1c4600cb1bb40c585040f8a76290a73e	*
