KO	variable	value	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full
K09021	14	-0.575833008165592	Metabolism	Amino acid metabolism	Pyrimidine metabolism	rutC	aminoacrylateperacidreductase				 rutC; aminoacrylate peracid reductase
K00284	22	-0.542737430377724	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00284	22	-0.542737430377724	Protein families: metabolisms	Enzymes	Peptidases	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00284	22	-0.542737430377724	Metabolism	Energy metabolism	Nitrogen metabolism	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K15358	6	-0.488296225694784	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	ena	enamidase	3.5.2.18			 ena; enamidase [EC:3.5.2.18]
K03619	22	-0.46955253530948	Not included in pathway or Brite	Unclassified: signaling and cellular processes	General function prediction only	hyaE	hydrogenase-1operonproteinHyaE				 hyaE; hydrogenase-1 operon protein HyaE
K00038	14	-0.456962539416515	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K11021	6	-0.454561249006113	Protein families: signaling and cellular processes	Enzymes	Bacterial toxins	tccC	insecticidaltoxincomplexproteinTccC				 tccC; insecticidal toxin complex protein TccC
K13408	14	-0.438550271788772	Protein families: signaling and cellular processes	Enzymes	Secretion system	raxA	membranefusionprotein				 raxA; membrane fusion protein
K13408	14	-0.438550271788772	Protein families: signaling and cellular processes	Enzymes	Transporters	raxA	membranefusionprotein				 raxA; membrane fusion protein
K13408	14	-0.438550271788772	Organismal systems	Environmental adaptation	Plant-pathogen interaction	raxA	membranefusionprotein				 raxA; membrane fusion protein
K00151	22	-0.369981791878937	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00370	22	-0.367792919524712	Environmental information processing	Signal transduction	Two-component system	narG,narZ,nxrA	nitratereductase/nitriteoxidoreductase,alphasubunit	1.7.5.1	1.7.99.-		 narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00370	22	-0.367792919524712	Metabolism	Energy metabolism	Nitrogen metabolism	narG,narZ,nxrA	nitratereductase/nitriteoxidoreductase,alphasubunit	1.7.5.1	1.7.99.-		 narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K10960	14	-0.366720223891329	Metabolism	Metabolism of cofactors and vitamins	Porphrin and chlorophyll metabolism	chlP,bchP	geranylgeranyldiphosphate/geranylgeranyl-bacteriochlorophyllideareductase	1.3.1.83	1.3.1.111		 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
K10960	14	-0.366720223891329	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	chlP,bchP	geranylgeranyldiphosphate/geranylgeranyl-bacteriochlorophyllideareductase	1.3.1.83	1.3.1.111		 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
K00216	14	-0.321724686713668	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K12372	14	-0.316228563799843	Protein families: signaling and cellular processes	Enzymes	Transporters	dppF	dipeptidetransportsystemATP-bindingprotein				 dppF; dipeptide transport system ATP-binding protein
K12372	14	-0.316228563799843	Environmental information processing	Membrane transport	ABC transporters	dppF	dipeptidetransportsystemATP-bindingprotein				 dppF; dipeptide transport system ATP-binding protein
K05523	6	-0.262626457206726	Protein families: metabolisms	Enzymes	Peptidases	hchA	D-lactatedehydratase/proteindeglycase	4.2.1.130	3.5.1.124		 hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K05523	6	-0.262626457206726	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	hchA	D-lactatedehydratase/proteindeglycase	4.2.1.130	3.5.1.124		 hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K14645	6	-0.238401369921915	Protein families: metabolisms	Enzymes	Peptidases	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K14645	6	-0.238401369921915	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K14645	6	-0.238401369921915	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K15358	14	-0.178176250434508	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	ena	enamidase	3.5.2.18			 ena; enamidase [EC:3.5.2.18]
K00007	6	-0.171206413427506	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	6	-0.171206413427506	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K13408	6	-0.134870206058566	Protein families: signaling and cellular processes	Enzymes	Secretion system	raxA	membranefusionprotein				 raxA; membrane fusion protein
K13408	6	-0.134870206058566	Protein families: signaling and cellular processes	Enzymes	Transporters	raxA	membranefusionprotein				 raxA; membrane fusion protein
K13408	6	-0.134870206058566	Organismal systems	Environmental adaptation	Plant-pathogen interaction	raxA	membranefusionprotein				 raxA; membrane fusion protein
K09021	22	-0.123037779546536	Metabolism	Amino acid metabolism	Pyrimidine metabolism	rutC	aminoacrylateperacidreductase				 rutC; aminoacrylate peracid reductase
K05921	6	-0.111343502308279	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaG	5-oxopent-3-ene-1,2,5-tricarboxylatedecarboxylase/2-hydroxyhepta-2,4-diene-1,7-dioateisomerase	4.1.1.68	5.3.3.-		 hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
K16370	14	-0.0800934317247231	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	14	-0.0800934317247231	Metabolism	Carbohydrate metabolism	Glycolysis	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	14	-0.0800934317247231	Metabolism	Energy metabolism	Methane metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	14	-0.0800934317247231	Metabolism	Carbohydrate metabolism	Galactose metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	14	-0.0800934317247231	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K00151	14	-0.0524799562578614	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00370	6	-0.0431309233890841	Environmental information processing	Signal transduction	Two-component system	narG,narZ,nxrA	nitratereductase/nitriteoxidoreductase,alphasubunit	1.7.5.1	1.7.99.-		 narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00370	6	-0.0431309233890841	Metabolism	Energy metabolism	Nitrogen metabolism	narG,narZ,nxrA	nitratereductase/nitriteoxidoreductase,alphasubunit	1.7.5.1	1.7.99.-		 narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K12372	6	-0.0330169389473107	Protein families: signaling and cellular processes	Enzymes	Transporters	dppF	dipeptidetransportsystemATP-bindingprotein				 dppF; dipeptide transport system ATP-binding protein
K12372	6	-0.0330169389473107	Environmental information processing	Membrane transport	ABC transporters	dppF	dipeptidetransportsystemATP-bindingprotein				 dppF; dipeptide transport system ATP-binding protein
K05966	6	-0.0257565177491277	Environmental information processing	Signal transduction	Two-component system	citG	triphosphoribosyl-dephospho-CoAsynthase	2.4.2.52			 citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K07679	14	0.00564288838357743	Environmental information processing	Signal transduction	Two-component system	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	14	0.00564288838357743	Diseases	Infectious diseases: bacterial	Pertussis	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	14	0.00564288838357743	Protein families: signaling and cellular processes	Enzymes	Two-component system	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	14	0.00564288838357743	Protein families: metabolisms	Enzymes	Protein kinases	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K19611	14	0.0570563182225151	Environmental information processing	Signal transduction	Two-component system	fepA,pfeA,iroN,pirA	ferricenterobactinreceptor				 fepA, pfeA, iroN, pirA; ferric enterobactin receptor
K19611	14	0.0570563182225151	Protein families: signaling and cellular processes	Enzymes	Transporters	fepA,pfeA,iroN,pirA	ferricenterobactinreceptor				 fepA, pfeA, iroN, pirA; ferric enterobactin receptor
K05966	14	0.0599114903317376	Environmental information processing	Signal transduction	Two-component system	citG	triphosphoribosyl-dephospho-CoAsynthase	2.4.2.52			 citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K05779	22	0.0938604477877924	Protein families: signaling and cellular processes	Enzymes	Transporters	ABC.VB1X.A	putativethiaminetransportsystemATP-bindingprotein				 ABC.VB1X.A; putative thiamine transport system ATP-binding protein
K10960	6	0.114903835947237	Metabolism	Metabolism of cofactors and vitamins	Porphrin and chlorophyll metabolism	chlP,bchP	geranylgeranyldiphosphate/geranylgeranyl-bacteriochlorophyllideareductase	1.3.1.83	1.3.1.111		 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
K10960	6	0.114903835947237	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	chlP,bchP	geranylgeranyldiphosphate/geranylgeranyl-bacteriochlorophyllideareductase	1.3.1.83	1.3.1.111		 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
K01822	6	0.151502679625656	Metabolism	Xenobiotics biodegration and metabolism	Steroid degradation	E5.3.3.1	steroidDelta-isomerase	5.3.3.1			 E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K01822	6	0.151502679625656	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E5.3.3.1	steroidDelta-isomerase	5.3.3.1			 E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K01265	14	0.177414548130673	Protein families: metabolisms	Enzymes	Peptidases	map	methionylaminopeptidase	3.4.11.18			 map; methionyl aminopeptidase [EC:3.4.11.18]
K05779	6	0.192039363780191	Protein families: signaling and cellular processes	Enzymes	Transporters	ABC.VB1X.A	putativethiaminetransportsystemATP-bindingprotein				 ABC.VB1X.A; putative thiamine transport system ATP-binding protein
K00216	6	0.232966757190013	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K14645	14	0.253710777989252	Protein families: metabolisms	Enzymes	Peptidases	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K14645	14	0.253710777989252	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K14645	14	0.253710777989252	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K00038	6	0.257692765037535	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K11263	22	0.262957161465892	Metabolism	Lipid metabolism	Fatty acid biosynthesis	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	22	0.262957161465892	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	22	0.262957161465892	Metabolism	Amino acid metabolism	Valine, leucine, and isoleucine mdegradation	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	22	0.262957161465892	Metabolism	Carbohydrate metabolism	Propanoate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	22	0.262957161465892	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K02014	14	0.29077457668146	Protein families: signaling and cellular processes	Enzymes	Transporters	TC.FEV.OM	ironcomplexoutermembranerecepterprotein				 TC.FEV.OM; iron complex outermembrane recepter protein
K14645	22	0.298568969195643	Protein families: metabolisms	Enzymes	Peptidases	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K14645	22	0.298568969195643	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K14645	22	0.298568969195643	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K14645	serineprotease	3.4.21.-			 K14645; serine protease [EC:3.4.21.-]
K03619	6	0.30034842970437	Not included in pathway or Brite	Unclassified: signaling and cellular processes	General function prediction only	hyaE	hydrogenase-1operonproteinHyaE				 hyaE; hydrogenase-1 operon protein HyaE
K01265	6	0.302200017043115	Protein families: metabolisms	Enzymes	Peptidases	map	methionylaminopeptidase	3.4.11.18			 map; methionyl aminopeptidase [EC:3.4.11.18]
K11263	6	0.308183381812456	Metabolism	Lipid metabolism	Fatty acid biosynthesis	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	6	0.308183381812456	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	6	0.308183381812456	Metabolism	Amino acid metabolism	Valine, leucine, and isoleucine mdegradation	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	6	0.308183381812456	Metabolism	Carbohydrate metabolism	Propanoate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	6	0.308183381812456	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K00284	6	0.313823294542502	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00284	6	0.313823294542502	Protein families: metabolisms	Enzymes	Peptidases	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00284	6	0.313823294542502	Metabolism	Energy metabolism	Nitrogen metabolism	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K09021	6	0.337034538164774	Metabolism	Amino acid metabolism	Pyrimidine metabolism	rutC	aminoacrylateperacidreductase				 rutC; aminoacrylate peracid reductase
K07506	14	0.346277093282039	Protein families: genetic information processing	Enzymes	Transcription factors	K07506	AraCfamilytranscriptionalregulator				 K07506; AraC family transcriptional regulator
K16370	6	0.350583238662146	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	6	0.350583238662146	Metabolism	Carbohydrate metabolism	Glycolysis	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	6	0.350583238662146	Metabolism	Energy metabolism	Methane metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	6	0.350583238662146	Metabolism	Carbohydrate metabolism	Galactose metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	6	0.350583238662146	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K02014	6	0.357608507176693	Protein families: signaling and cellular processes	Enzymes	Transporters	TC.FEV.OM	ironcomplexoutermembranerecepterprotein				 TC.FEV.OM; iron complex outermembrane recepter protein
K00216	22	0.364127858399755	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K13408	22	0.408195215058715	Protein families: signaling and cellular processes	Enzymes	Secretion system	raxA	membranefusionprotein				 raxA; membrane fusion protein
K13408	22	0.408195215058715	Protein families: signaling and cellular processes	Enzymes	Transporters	raxA	membranefusionprotein				 raxA; membrane fusion protein
K13408	22	0.408195215058715	Organismal systems	Environmental adaptation	Plant-pathogen interaction	raxA	membranefusionprotein				 raxA; membrane fusion protein
K11021	14	0.477720597998494	Protein families: signaling and cellular processes	Enzymes	Bacterial toxins	tccC	insecticidaltoxincomplexproteinTccC				 tccC; insecticidal toxin complex protein TccC
K01265	22	0.517568919922922	Protein families: metabolisms	Enzymes	Peptidases	map	methionylaminopeptidase	3.4.11.18			 map; methionyl aminopeptidase [EC:3.4.11.18]
K07506	6	0.536232531206399	Protein families: genetic information processing	Enzymes	Transcription factors	K07506	AraCfamilytranscriptionalregulator				 K07506; AraC family transcriptional regulator
K00038	22	0.544793082968891	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K02014	22	0.545088188490645	Protein families: signaling and cellular processes	Enzymes	Transporters	TC.FEV.OM	ironcomplexoutermembranerecepterprotein				 TC.FEV.OM; iron complex outermembrane recepter protein
K07217	6	0.55665675876957	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Others	K07217	Mn-containingcatalase				 K07217; Mn-containing catalase
K13069	22	0.576529294375765	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	E2.7.7.65	diguanylatecyclase	2.7.7.65			 E2.7.7.65; diguanylate cyclase [EC:2.7.7.65]
K08364	14	0.592654947374058	Protein families: signaling and cellular processes	Enzymes	Transporters	merP	periplasmicmercuricionbindingprotein				 merP; periplasmic mercuric ion binding protein
K00370	14	0.596665806529866	Environmental information processing	Signal transduction	Two-component system	narG,narZ,nxrA	nitratereductase/nitriteoxidoreductase,alphasubunit	1.7.5.1	1.7.99.-		 narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00370	14	0.596665806529866	Metabolism	Energy metabolism	Nitrogen metabolism	narG,narZ,nxrA	nitratereductase/nitriteoxidoreductase,alphasubunit	1.7.5.1	1.7.99.-		 narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00151	6	0.616670378609021	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K13069	6	0.647313298094255	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	E2.7.7.65	diguanylatecyclase	2.7.7.65			 E2.7.7.65; diguanylate cyclase [EC:2.7.7.65]
K12372	22	0.653965073569758	Protein families: signaling and cellular processes	Enzymes	Transporters	dppF	dipeptidetransportsystemATP-bindingprotein				 dppF; dipeptide transport system ATP-binding protein
K12372	22	0.653965073569758	Environmental information processing	Membrane transport	ABC transporters	dppF	dipeptidetransportsystemATP-bindingprotein				 dppF; dipeptide transport system ATP-binding protein
K00007	22	0.690175468737719	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	22	0.690175468737719	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K05523	22	0.738998771017276	Protein families: metabolisms	Enzymes	Peptidases	hchA	D-lactatedehydratase/proteindeglycase	4.2.1.130	3.5.1.124		 hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
