KO	Temperature	Dose	delta	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full
K00007	T14	5.00E+06	0.011121272	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+06	0.011121272	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	0	-0.000179119	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	0	-0.000179119	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	0	-0.000179119	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	0	-0.000179119	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+03	-0.001343592	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+03	-0.001343592	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+03	-0.001343592	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+03	-0.001343592	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+04	-0.000287333	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+04	-0.000287333	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+04	-0.000287333	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+04	-0.000287333	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+05	-0.003409052	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+05	-0.003409052	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+05	-0.003409052	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+05	-0.003409052	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+06	0.001792591	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+06	0.001792591	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+06	0.001792591	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	5.00E+06	0.001792591	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	0	-0.000458894	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	0	-0.000458894	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	0	-4.59E-04	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T22	0	-4.59E-04	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+03	0.001248925	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+03	0.001248925	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+03	0.001248925	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+03	0.001248925	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+04	-0.002374654	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+04	-0.002374654	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+04	-0.002374654	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+04	-0.002374654	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+05	-0.004686766	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+05	-0.004686766	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+05	-0.004686766	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+05	-0.004686766	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+06	-0.001585297	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+06	-0.001585297	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+06	-0.001585297	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	5.00E+06	-0.001585297	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	0	0.001574747	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	0	0.001574747	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	0	0.001574747	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T6	0	0.001574747	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00038	T14	5.00E+03	-7.89E-05	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T14	5.00E+03	0.009654695	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T14	5.00E+03	0.002896938	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T14	5.00E+03	0.016308906	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T14	5.00E+04	-8.12E-05	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T22	5.00E+04	0.002251768	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T22	5.00E+04	0.000659312	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T22	5.00E+04	0.000602111	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T22	5.00E+05	0.020298731	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T22	5.00E+05	-0.000468261	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T6	5.00E+05	-0.000587242	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T6	5.00E+05	-0.001581097	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T6	5.00E+06	-0.001881327	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T6	5.00E+06	-0.000231952	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00038	T6	5.00E+06	5.65E-05	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E1.1.1.53	3alpha(or20beta)-hydroxysteroiddehydrogenase	1.1.1.53			 E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00151	T14	5.00E+06	0.002985469	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T14	0	-0.000505792	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T14	0	0.007188888	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T14	0	0.008952313	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T14	0	-0.00153073	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T22	5.00E+03	-0.000968678	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T22	5.00E+03	-0.000716007	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T22	5.00E+03	-0.000960992	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T22	5.00E+03	0.001179684	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T22	5.00E+04	-0.001166567	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T6	5.00E+04	-0.000277885	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T6	5.00E+04	-0.003385987	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T6	5.00E+04	-0.00581033	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T6	5.00E+05	-0.001234594	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00151	T6	5.00E+05	0.000945326	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaE,hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehydedehydrogenase	1.2.1.60			 hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00216	T14	5.00E+05	0.021446802	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T14	5.00E+05	0.002982642	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T14	5.00E+06	0.012755866	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T14	5.00E+06	0.008349102	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T14	5.00E+06	0.001149789	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T22	5.00E+06	0.002751737	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T22	0	-0.003982843	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T22	0	-0.012933058	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T22	0	0.008486202	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T22	0	-0.008546072	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T6	5.00E+03	0.000196005	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T6	5.00E+04	-9.19E-06	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T6	5.00E+05	-0.000135306	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T6	5.00E+06	9.57E-05	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00216	T6	0	-4.91E-06	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	entA	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
